typhoon-pair	Royal Air Force Typhoon Aircraft from 6 Squadron MOD 45155465.jpg	SAC Ash Reynolds	OGL v1.0
typhoon-front	RAF Typhoon inflight.jpg	Sqn Ldr Dylan Eklund	OGL 2
typhoon-side	ZK375 Eurofighter Typhoon FGR4 RAF Northolt 5.10.23 (53249846737).jpg	Colin Cooke Photo	CC BY-SA 2.0
typhoon-drop	RAF Typhoon Dropping Paveway Bomb MOD 45155467.jpg	SAC Ash Reynolds	OGL v1.0
typhoon-paveway	Enhanced Paveway II Bomb Fitted to RAF Typhoon MOD 45153867.jpg	SAC Graham Taylor	OGL v1.0
typhoon-bear	RAF QRA Typhoon Intercepting Russian Bear Aircraft MOD 45158137.jpg	Sgt Fenwick	OGL v1.0
typhoon-leuchars	Typhoon FGR4 at RAF Leuchars MOD 45154867.jpg	Cpl Dave Blackburn RAF	OGL v1.0
carrier-wide	Rafale Theodore Roosevelt04.jpg	Nathan Laird	Public domain
rafale-m-flight	Rafale M of Flottile 12F in flight 2014.JPG	U.S. Navy photo by Mass Communication Specialist 3rd Class Karl Anderson	Public domain
rafale-m-armed	Rafale M-16-EybnCWLWgAAi3I9.jpeg	SSgt Alexander Cook	Public domain
rafale-deck	French Navy Rafale performs a touch and go on the USS Dwight D. Eisenhower.jpg	U.S. Navy photo by Petty Officer 3rd Class Nathan T. Beard	Public domain
rafale-croatia	Dassault Rafale arrives for the first time in Croatia.jpg	MORH/ T. Brandt	CC BY 4.0
rafale-vapor	Dassault Rafale (16425191208).jpg	Bikash Das from bangalore, india	CC BY 2.0
rafale-india	Indian Air Force Rafale.jpg	Dylan Agbagni (CC0)	CC0
rafale-india-takeoff	RB005 - Dassault Rafale take off - Indian Air Force.jpg	Dylan Agbagni (CC0)	CC0
rafale-egypt	9265 Rafale DM Egyptian Air Force El Alamein 5.9.24 (54025821284).jpg	Colin Cooke Photo	CC BY-SA 2.0
rbe2	Thales RBE2 AESA.jpg	Tiraden	CC BY-SA 4.0
captor	ILA Berlin 2012 PD 193-Detail.jpg	ILA_Berlin_2012_PD_193.JPG: Bin im Garten
derivative work: MagentaGreen	CC BY-SA 3.0
exocet	Exocet AM39 P1220892.jpg	David Monniaux	CC BY-SA 3.0
meteor	MBDA Meteor et Thales Talios.jpg	Tiraden	CC BY-SA 4.0
rafale-3view	Dassault Rafale 3-view line drawing.jpg	Patrick Rogel	CC BY-SA 3.0
rafale-weapons	Dassault Rafale weaponry DSC04186.JPG	David Monniaux	CC BY-SA 3.0
